,$Z_{A'}$,$X_1$,$X_2$,"$X_1, X_2$","$X_1, Z_A$","$X_1, Z_{A'}$","$X_2, Z_A$","$X_2, Z_{A'}$","$X_1, X_2,$
$Z_A$","$X_1, X_2,$
$Z_{A'}$","$X_1, X_2,$
$Z_{A'}, Z_A$",Random
56,0.004543887851624628,0.0037985250786203295,0.005993477166378547,0.003046872432271641,0.04792096658627676,0.003875624279543466,0.06248729243608553,0.003540896810775074,0.08733556869068337,0.0030320822396685543,0.0837264924694292,0.010131739541527018
57,0.0019508064648894319,0.003167230329250259,0.0032236491832065006,0.0037880236731595573,0.2315517985450284,0.0020623070168919178,0.28253125731266104,0.0018600122166598787,0.30964257816832497,0.0012689087449446745,0.2519833427486269,0.021777146194793318
58,0.007244513284045517,0.0027620991980708,0.0035277087026210907,0.006799978360167103,0.19186034440927768,0.0017802613739728024,0.26578266907249226,0.002711820836057033,0.18815357547779854,0.004262134455665034,0.25196942254916754,0.007485882211838657
59,0.008047881851571681,0.002086747642101372,0.004642650639167023,0.008100835318817001,0.019958676421668375,0.0038203355824526497,0.045229812771950595,0.0029219076121216325,0.06494969832593656,0.0024476267119539763,0.037202120186487164,0.01828434231684728
60,0.0018560051703717662,0.0034273377285227724,0.0026512607841366886,0.0027064598818720143,0.4349978427271255,0.0024115114098188783,0.3436195475281427,0.00258263484992316,0.2905092183867444,0.0035727864979415713,0.28832532045967696,0.019842330146153664
61,0.00463279102020131,0.004885610663989848,0.0031265307611283433,0.004293866137579094,0.11643918869208125,0.0056735875077018605,0.09017419454090225,0.005458929480629315,0.0802245915594133,0.0058107481993068255,0.0813516649590893,0.010550517064801923
62,0.0029562026069749336,0.0015920939339664208,0.002136966387842776,0.00239031882297569,0.04689983523403374,0.0026972277356125396,0.1633012126201403,0.005367685838139291,0.1422092962231547,0.004222491419441088,0.14880423256243436,0.010227548230377081
63,0.0037395185827953092,0.0023407444756617934,0.004479277585324404,0.0033587783585344866,0.006336615193125006,0.00312234833492564,0.008102379845523977,0.003289216634088099,0.010908767552817444,0.0017861156105096754,0.013870796198524271,0.008450136475619985
64,0.002084762853109101,0.01650917307928701,0.003846194082154586,0.0019922114271087032,0.004309182322924432,0.0012387858141846841,0.0133855674379042,0.0022162207591422955,0.0031778488315570286,0.002800139926977252,0.016268728890445505,0.05235814090511681
65,0.0026619028615595397,0.008557418273249962,0.003025942061687381,0.0015011322071476485,0.0049683055729028425,0.005242340867562589,0.006930375634147445,0.0022762839049002004,0.006415902424774966,0.0048424086947300715,0.006453655326984276,0.0051015829008447255
66,0.007047529700802357,0.0184244326218046,0.0033172770483202996,0.0022310815676442886,0.0804477486306423,0.0047278104635619655,0.07079164849085373,0.00297351643458299,0.02949033298647752,0.0019978905683748494,0.04242177745101161,0.009921245677382728
67,0.0035175729267100664,0.01348324386772104,0.006435397399681797,0.004585446032561169,0.5464413053508501,0.007479624351192982,0.8539975713016048,0.0038289177516483974,0.7552898644287604,0.0017169648992174658,0.7117741059888592,0.015180544961314268
68,0.0031621980127440885,0.00395672395982416,0.0030597081492311773,0.008731645548750944,0.5007340996559582,0.004503168889754328,0.36392514152375544,0.0028685369309395803,0.33156918043180506,0.0024935329655844107,0.3454739548524848,0.008158059308547294
69,0.00809406221255804,0.006477934984868483,0.00505718347074513,0.01058709151343118,0.01043247247141732,0.01322156725459589,0.010984834470535443,0.007800922019625567,0.013482231667214073,0.005349713921391164,0.011023220051258775,0.008979576991702487
