,A,group,Observed Y,distance,model,run_number
115,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.3609827101881384,"$X_2, Z_A$",8
116,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.5356685569023574,"$X_2, Z_A$",9
117,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.329773703971278,"$X_2, Z_A$",9
118,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.6756801136557606,"$X_2, Z_A$",9
119,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.3063903378650874,"$X_2, Z_A$",9
120,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.542196601393911,"$X_2, Z_{A'}$",0
121,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.386227903866009,"$X_2, Z_{A'}$",0
122,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.620067052911654,"$X_2, Z_{A'}$",0
123,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.627277810341474,"$X_2, Z_{A'}$",0
124,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.569212405822189,"$X_2, Z_{A'}$",1
125,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.3701029480152,"$X_2, Z_{A'}$",1
126,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.654513897127555,"$X_2, Z_{A'}$",1
127,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.642909477770108,"$X_2, Z_{A'}$",1
128,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.4885674174673937,"$X_2, Z_{A'}$",2
129,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.394646028721678,"$X_2, Z_{A'}$",2
130,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.679773471470182,"$X_2, Z_{A'}$",2
131,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.619841694817966,"$X_2, Z_{A'}$",2
132,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.481853541431545,"$X_2, Z_{A'}$",3
133,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.4252584239481925,"$X_2, Z_{A'}$",3
134,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.587951663586387,"$X_2, Z_{A'}$",3
135,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.7723680864312406,"$X_2, Z_{A'}$",3
136,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.503825082273184,"$X_2, Z_{A'}$",4
137,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.405731854501206,"$X_2, Z_{A'}$",4
138,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.7223439579801254,"$X_2, Z_{A'}$",4
139,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.672609424034749,"$X_2, Z_{A'}$",4
140,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.555209727167637,"$X_2, Z_{A'}$",5
141,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.3431131509860483,"$X_2, Z_{A'}$",5
142,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.570898800898463,"$X_2, Z_{A'}$",5
143,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.6461657327994303,"$X_2, Z_{A'}$",5
144,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.4946917437140868,"$X_2, Z_{A'}$",6
145,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.4787498704648585,"$X_2, Z_{A'}$",6
146,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.535861966943563,"$X_2, Z_{A'}$",6
147,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.662297569676971,"$X_2, Z_{A'}$",6
148,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.531182687805395,"$X_2, Z_{A'}$",7
149,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.330841888258643,"$X_2, Z_{A'}$",7
150,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.682529816168549,"$X_2, Z_{A'}$",7
151,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.5171415330061766,"$X_2, Z_{A'}$",7
152,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.545143689253727,"$X_2, Z_{A'}$",8
153,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.3661638069996584,"$X_2, Z_{A'}$",8
154,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.7727407336121477,"$X_2, Z_{A'}$",8
155,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.71163461596041,"$X_2, Z_{A'}$",8
156,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.569279812096621,"$X_2, Z_{A'}$",9
157,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.329708899519681,"$X_2, Z_{A'}$",9
158,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.5967817156264266,"$X_2, Z_{A'}$",9
159,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.7760309406359758,"$X_2, Z_{A'}$",9
160,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.6393509483760305,"$X_1, X_2,$
$Z_{A'}, Z_A$",0
161,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.6291537050240574,"$X_1, X_2,$
$Z_{A'}, Z_A$",0
162,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.7060898572807632,"$X_1, X_2,$
$Z_{A'}, Z_A$",0
163,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.44993690073305,"$X_1, X_2,$
$Z_{A'}, Z_A$",0
164,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.6963511228491344,"$X_1, X_2,$
$Z_{A'}, Z_A$",1
165,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.4420593104440504,"$X_1, X_2,$
$Z_{A'}, Z_A$",1
166,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.8781051152394457,"$X_1, X_2,$
$Z_{A'}, Z_A$",1
167,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.345725821776349,"$X_1, X_2,$
$Z_{A'}, Z_A$",1
168,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.7424934690925955,"$X_1, X_2,$
$Z_{A'}, Z_A$",2
169,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.307808878666688,"$X_1, X_2,$
$Z_{A'}, Z_A$",2
170,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.7943374080003505,"$X_1, X_2,$
$Z_{A'}, Z_A$",2
171,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.380400120584228,"$X_1, X_2,$
$Z_{A'}, Z_A$",2
172,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.5398413977313714,"$X_1, X_2,$
$Z_{A'}, Z_A$",3
173,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.454106383887395,"$X_1, X_2,$
$Z_{A'}, Z_A$",3
174,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.7758157759405098,"$X_1, X_2,$
$Z_{A'}, Z_A$",3
175,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.382149532191312,"$X_1, X_2,$
$Z_{A'}, Z_A$",3
176,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.5679188256592482,"$X_1, X_2,$
$Z_{A'}, Z_A$",4
177,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.373196116183044,"$X_1, X_2,$
$Z_{A'}, Z_A$",4
178,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.6045670416071474,"$X_1, X_2,$
$Z_{A'}, Z_A$",4
179,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.5812669172144735,"$X_1, X_2,$
$Z_{A'}, Z_A$",4
180,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.5650293264861204,"$X_1, X_2,$
$Z_{A'}, Z_A$",5
181,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.3703654085845383,"$X_1, X_2,$
$Z_{A'}, Z_A$",5
182,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.7603262013412952,"$X_1, X_2,$
$Z_{A'}, Z_A$",5
183,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.3868458835352997,"$X_1, X_2,$
$Z_{A'}, Z_A$",5
184,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.6478874544698296,"$X_1, X_2,$
$Z_{A'}, Z_A$",6
185,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.458514002997653,"$X_1, X_2,$
$Z_{A'}, Z_A$",6
186,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.8187270501043082,"$X_1, X_2,$
$Z_{A'}, Z_A$",6
187,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.60417364423971,"$X_1, X_2,$
$Z_{A'}, Z_A$",6
188,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.7172840986606257,"$X_1, X_2,$
$Z_{A'}, Z_A$",7
189,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.4548612648073114,"$X_1, X_2,$
$Z_{A'}, Z_A$",7
190,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.8033725072228277,"$X_1, X_2,$
$Z_{A'}, Z_A$",7
191,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.6039642230958853,"$X_1, X_2,$
$Z_{A'}, Z_A$",7
192,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.7298461813398482,"$X_1, X_2,$
$Z_{A'}, Z_A$",8
193,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.568558155537481,"$X_1, X_2,$
$Z_{A'}, Z_A$",8
194,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.751261192442996,"$X_1, X_2,$
$Z_{A'}, Z_A$",8
195,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.345093267286773,"$X_1, X_2,$
$Z_{A'}, Z_A$",8
196,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.6341281085048003,"$X_1, X_2,$
$Z_{A'}, Z_A$",9
197,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.489786314387093,"$X_1, X_2,$
$Z_{A'}, Z_A$",9
198,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.7348120150656587,"$X_1, X_2,$
$Z_{A'}, Z_A$",9
199,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.5090570119382654,"$X_1, X_2,$
$Z_{A'}, Z_A$",9
200,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.013821744124640212,Random,0
201,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.015137581351408969,Random,0
202,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,0.009070780468036332,Random,0
203,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,0.02523179908026041,Random,0
204,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.009453852189955647,Random,1
205,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.016320842819475878,Random,1
206,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,0.005940095875581086,Random,1
207,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,0.02237718509957709,Random,1
208,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.00770767937120187,Random,2
209,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.01755618201388831,Random,2
210,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,0.037572160058656046,Random,2
211,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,0.0093241599298306,Random,2
212,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.005575871693404011,Random,3
213,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.018580225945169282,Random,3
214,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,0.013030909958290593,Random,3
215,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,0.011946081442784973,Random,3
216,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.0093958883085552,Random,4
217,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.023418263558474095,Random,4
218,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,0.007734071616799731,Random,4
219,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,0.025909133242559612,Random,4
220,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.01651165485353978,Random,5
221,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.025308812339571496,Random,5
222,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,0.01337133255589329,Random,5
223,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,0.024486508431698084,Random,5
224,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.011131060500682466,Random,6
225,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.03454107955896202,Random,6
226,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,0.009369124612234714,Random,6
