,A,group,Observed Y,distance,model,run_number
89,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.497966960958648,"$X_2, Z_A$",2
90,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.842749680987209,"$X_2, Z_A$",2
91,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.535274340582985,"$X_2, Z_A$",2
92,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.241671824911352,"$X_2, Z_A$",3
93,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.5255889993829954,"$X_2, Z_A$",3
94,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.707426283768787,"$X_2, Z_A$",3
95,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.507860348185816,"$X_2, Z_A$",3
96,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.4396029818571994,"$X_2, Z_A$",4
97,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.330642440364336,"$X_2, Z_A$",4
98,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.8384883642507477,"$X_2, Z_A$",4
99,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.5232682608962973,"$X_2, Z_A$",4
100,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.435574138437288,"$X_2, Z_A$",5
101,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.5234942101115996,"$X_2, Z_A$",5
102,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.9256788293423552,"$X_2, Z_A$",5
103,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.3593727780009086,"$X_2, Z_A$",5
104,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.3656205112241615,"$X_2, Z_A$",6
105,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.5702927384214256,"$X_2, Z_A$",6
106,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.8203769191013723,"$X_2, Z_A$",6
107,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.2904953151206557,"$X_2, Z_A$",6
108,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.463326694303292,"$X_2, Z_A$",7
109,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.4243656460252594,"$X_2, Z_A$",7
110,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.820438688812448,"$X_2, Z_A$",7
111,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.5711826508453375,"$X_2, Z_A$",7
112,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.567949025518618,"$X_2, Z_A$",8
113,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.3484870446553665,"$X_2, Z_A$",8
114,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.7766605942037947,"$X_2, Z_A$",8
115,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.6156234020597724,"$X_2, Z_A$",8
116,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.326106253394773,"$X_2, Z_A$",9
117,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.3152946468828297,"$X_2, Z_A$",9
118,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.900683024270498,"$X_2, Z_A$",9
119,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.4092815622146286,"$X_2, Z_A$",9
120,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.919807764978337,"$X_2, Z_{A'}$",0
121,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.6755298586329515,"$X_2, Z_{A'}$",0
122,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.9372907620288284,"$X_2, Z_{A'}$",0
123,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.625424256024546,"$X_2, Z_{A'}$",0
124,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.8892207499669667,"$X_2, Z_{A'}$",1
125,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.7521525059716847,"$X_2, Z_{A'}$",1
126,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.968613716249555,"$X_2, Z_{A'}$",1
127,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.689786080604996,"$X_2, Z_{A'}$",1
128,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.936739814179666,"$X_2, Z_{A'}$",2
129,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.7938203124557655,"$X_2, Z_{A'}$",2
130,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.8185828940728532,"$X_2, Z_{A'}$",2
131,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.683971118037553,"$X_2, Z_{A'}$",2
132,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.8855529465817678,"$X_2, Z_{A'}$",3
133,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.590366174475224,"$X_2, Z_{A'}$",3
